time_of_day,weather_severity,active_sensors,historical_flow,is_congested
6,1,16,3593,0
19,1,46,1957,0
14,1,47,161,0
10,3,43,1594,0
7,2,13,1280,1
20,1,10,2888,0
6,1,23,1975,0
18,5,11,2308,1
22,0,20,4736,0
10,5,9,4821,1
10,5,20,205,0
23,0,5,1254,0
20,2,41,3528,0
3,5,43,4187,1
7,2,23,1808,1
23,5,41,2923,0
2,4,21,4025,1
21,0,30,2008,0
20,5,26,2149,0
1,4,12,4564,1
23,3,37,1374,0
11,4,6,1045,0
5,1,34,4004,0
1,5,24,2327,0
20,4,22,3896,1
0,2,47,392,0
11,3,14,4779,1
21,5,28,2322,0
11,1,8,4073,0
16,4,41,2591,1
9,3,8,2575,1
15,5,17,4960,1
14,3,29,3829,1
14,1,17,527,0
18,4,22,3072,1
11,3,28,206,0
22,3,6,3719,1
19,0,37,4854,0
2,3,23,3433,0
4,0,13,4092,0
18,4,32,1325,1
6,5,39,4104,1
20,5,43,4350,1
8,4,14,3468,1
6,4,5,995,0
17,2,46,4005,1
3,4,25,1720,0
13,3,13,3963,1
17,5,19,2392,1
8,1,39,1485,1
20,5,9,3999,1
1,0,45,3692,0
19,5,26,2533,0
14,2,45,2906,0
6,4,27,3483,1
11,4,11,1401,0
7,5,27,858,1
14,1,48,846,0
2,1,29,692,0
13,2,31,2986,0
16,0,45,4211,1
3,5,10,1168,0
17,4,38,3407,1
7,5,13,802,1
3,2,37,4808,0
1,3,10,204,0
5,3,41,1597,0
21,2,35,3933,0
9,4,38,495,1
3,2,45,3617,0
21,4,33,2753,1
17,1,18,3391,1
11,2,40,2110,0
1,4,40,3981,1
9,2,19,2088,1
3,2,12,4637,0
13,4,30,1768,0
15,4,40,4862,1
14,0,25,1151,0
7,2,32,2941,1
13,3,8,4823,0
22,2,20,3684,0
7,2,26,447,1
20,4,16,1363,0
15,2,20,4765,1
12,5,44,2842,0
17,2,42,2173,1
14,5,46,3248,0
20,3,41,1451,0
23,4,33,2921,1
12,2,22,3927,0
8,5,14,769,1
14,5,46,4913,1
12,5,43,2746,1
0,1,22,366,0
6,0,5,1538,0
8,3,43,2793,1
23,2,25,1122,0
0,1,5,2137,0
11,2,19,664,0
7,2,8,1159,1
23,4,24,1524,1
10,4,14,4223,1
18,4,27,319,1
16,1,45,505,1
7,2,38,1737,1
2,0,50,2418,0
2,3,37,1859,0
0,4,38,1774,0
4,4,43,891,0
9,2,14,3682,1
6,2,24,1409,0
8,1,5,3933,1
6,1,17,4512,0
8,4,5,1430,1
7,2,9,4546,1
11,0,20,610,0
1,3,19,2672,0
0,2,32,4029,0
15,2,35,591,0
22,5,27,1717,0
22,1,49,2156,0
23,3,47,1620,0
4,4,21,1683,0
2,2,38,1675,0
11,4,17,4046,0
7,2,18,1861,1
21,4,15,2091,0
2,3,32,3279,0
0,1,46,3426,0
2,3,36,1146,0
4,5,39,2992,1
14,0,35,2713,0
13,1,21,3992,0
2,3,13,4244,0
0,5,14,561,1
4,0,12,4531,0
22,5,25,1481,0
13,2,17,1245,0
6,2,9,3615,0
8,4,10,4554,1
14,1,34,292,0
14,2,35,3634,0
9,5,21,855,1
12,1,15,1784,0
18,2,24,2625,1
6,4,13,927,1
16,3,6,989,1
19,4,41,4848,0
3,0,5,2555,0
4,2,8,2433,0
22,0,40,210,0
6,0,29,4815,0
12,5,7,892,0
14,1,13,4783,0
10,5,26,2743,1
3,2,27,3514,0
12,0,16,1409,0
6,3,14,396,0
18,0,38,1729,1
21,3,47,668,0
1,5,14,4805,1
9,5,34,4211,1
12,1,26,171,0
